idx,question,gold,retention,k,ans_unpruned,ans_random,ans_papit,ans_distill,acc_unpruned,acc_random,acc_papit,acc_distill
0,Where is he looking?,"[{'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'at table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 10}]",0.25,144,Down,Down,Down,Up,1.0,1.0,1.0,0.0
0,Where is he looking?,"[{'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'at table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 10}]",0.5,288,Down,Down,Down,Down,1.0,1.0,1.0,1.0
0,Where is he looking?,"[{'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'at table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'down', 'answer_confidence': 'yes', 'answer_id': 10}]",0.75,432,Down,Down,Down,Down,1.0,1.0,1.0,1.0
1,What are the people in the background doing?,"[{'answer': 'spectating', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'watching', 'answer_confidence': 'maybe', 'answer_id': 6}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 10}]",0.25,144,Watching,Watching,Watching,Watching,1.0,1.0,1.0,1.0
1,What are the people in the background doing?,"[{'answer': 'spectating', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'watching', 'answer_confidence': 'maybe', 'answer_id': 6}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 10}]",0.5,288,Watching,Watching,Watching,Watching,1.0,1.0,1.0,1.0
1,What are the people in the background doing?,"[{'answer': 'spectating', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'watching', 'answer_confidence': 'maybe', 'answer_id': 6}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'watching', 'answer_confidence': 'yes', 'answer_id': 10}]",0.75,432,Watching,Watching,Watching,Watching,1.0,1.0,1.0,1.0
2,What is he on top of?,"[{'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 10}]",0.25,144,Skateboard,Skateboard,Skateboard,Skateboard,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,What is he on top of?,"[{'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 10}]",0.5,288,Skateboard,Skateboard,Skateboard,Skateboard,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,What is he on top of?,"[{'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'skateboard', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'picnic table', 'answer_confidence': 'yes', 'answer_id': 10}]",0.75,432,Skateboard,Skateboard,Skateboard,Skateboard,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,What website copyrighted the picture?,"[{'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 1}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 2}
 {'answer': 'foodiebaker', 'answer_confidence': 'yes', 'answer_id': 3}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 4}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 5}
 {'answer': 'http://foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 6}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 7}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 8}
 {'answer': 'foodiebakercom', 'answer_confidence': 'yes', 'answer_id': 9}
 {'answer': 'foodiebaker', 'answer_confidence': 'yes', 'answer_id': 10}]",0.25,144,Foodie baker,Foodie,None,Foodbaker,0.0,0.0,0.0,0.0
