shard,idx_in_shard,image_path,question,source
0,0,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00007-of-00136_2880.jpg,What vehicle is that?,vqav2
0,1,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00000-of-00020_184.jpg,what does the book say?,textvqa
0,2,/opt/dlami/nvme/data/raw_distill/gqa_train/713787.jpg,What kind of vehicle is it?,gqa
0,3,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_595.jpg,Is there natural light?,vqav2
0,4,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_879.jpg,what kind of smartphone is this?,textvqa
0,5,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_330.jpg,What mode of transportation is this?,vqav2
0,6,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_542.jpg,who wrote this book?,textvqa
0,7,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00000-of-00020_917.jpg,what are the initials of the larger text?,textvqa
0,8,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00003-of-00136_978.jpg,Is he concentrating?,vqav2
0,9,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_74.jpg,What is this?,vqav2
0,10,/opt/dlami/nvme/data/raw_distill/gqa_train/2370831.jpg,What is the baby sitting on?,gqa
0,11,/opt/dlami/nvme/data/raw_distill/gqa_train/2374460.jpg,What kind of animal is the lamp behind of?,gqa
0,12,/opt/dlami/nvme/data/raw_distill/gqa_train/2316028.jpg,Is there any pillow on the bed?,gqa
0,13,/opt/dlami/nvme/data/raw_distill/gqa_train/1455.jpg,"On which side is the woman, the left or the right?",gqa
0,14,/opt/dlami/nvme/data/raw_distill/gqa_train/2359950.jpg,Which side is the backpack on?,gqa
0,15,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_50.jpg,what country does these coins come from?,textvqa
0,16,/opt/dlami/nvme/data/raw_distill/gqa_train/2390074.jpg,Is the black shirt short sleeved or long sleeved?,gqa
0,17,/opt/dlami/nvme/data/raw_distill/gqa_train/2378475.jpg,Do the trees seem to be white and tall?,gqa
0,18,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_68.jpg,What sport is being played?,vqav2
0,19,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_2846.jpg,Is she smoking?,vqav2
0,20,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_1831.jpg,Have these people been served food yet?,vqav2
0,21,/opt/dlami/nvme/data/raw_distill/gqa_train/2400782.jpg,Are there any computers to the left of the keyboard?,gqa
0,22,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00000-of-00020_296.jpg,what is the plane number?,textvqa
0,23,/opt/dlami/nvme/data/raw_distill/gqa_train/2399803.jpg,Is the white plate to the left or to the right of the bowl?,gqa
0,24,/opt/dlami/nvme/data/raw_distill/gqa_train/2405452.jpg,Who is lying on the pillowcase?,gqa
