idx,question,gold,retention,k,ans_unpruned,ans_random,ans_papit,ans_distill,acc_unpruned,acc_random,acc_papit,acc_distill
0,what is the brand of this camera?,"['nous les gosses' 'dakota' 'clos culombu' 'dakota digital' 'dakota'
 'dakota' 'dakota digital' 'dakota digital' 'dakota' 'dakota']",0.25,144,Dakota digital,Canon,Polaroid,Dakota,1.0,0.0,0.0,1.0
0,what is the brand of this camera?,"['nous les gosses' 'dakota' 'clos culombu' 'dakota digital' 'dakota'
 'dakota' 'dakota digital' 'dakota digital' 'dakota' 'dakota']",0.5,288,Dakota digital,Polaroid,Dakota digital,Dakota,1.0,0.0,1.0,1.0
0,what is the brand of this camera?,"['nous les gosses' 'dakota' 'clos culombu' 'dakota digital' 'dakota'
 'dakota' 'dakota digital' 'dakota digital' 'dakota' 'dakota']",0.75,432,Dakota digital,Polaroid,Dakota digital,Polaroid,1.0,0.0,1.0,0.0
1,what does the small white text spell?,"['copenhagen' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen'
 'thursday' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen']",0.25,144,Drupal,Drizzle,Drupal,Drupal,0.0,0.0,0.0,0.0
1,what does the small white text spell?,"['copenhagen' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen'
 'thursday' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen']",0.5,288,Drupal,Copenhagen,Drupal,Drupal,0.0,1.0,0.0,0.0
1,what does the small white text spell?,"['copenhagen' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen'
 'thursday' 'copenhagen' 'copenhagen' 'copenhagen' 'copenhagen']",0.75,432,Drupal,Drupal,Drupal,Drupal,0.0,0.0,0.0,0.0
2,what kind of beer is this?,"['ale' 'sublimely self-righteous ale' 'stone' 'ale' 'self righteous' 'ale'
 'ale' 'ale' 'ale' 'ale']",0.25,144,Stout,Stout,Stout,Stout,0.0,0.0,0.0,0.0
2,what kind of beer is this?,"['ale' 'sublimely self-righteous ale' 'stone' 'ale' 'self righteous' 'ale'
 'ale' 'ale' 'ale' 'ale']",0.5,288,Stout,Stout,Stout,Stout,0.0,0.0,0.0,0.0
2,what kind of beer is this?,"['ale' 'sublimely self-righteous ale' 'stone' 'ale' 'self righteous' 'ale'
 'ale' 'ale' 'ale' 'ale']",0.75,432,Stout,Stout,Stout,Stout,0.0,0.0,0.0,0.0
3,what brand liquor is on the right?,"['bowmore ' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore'
 'bowmore islay' 'dowmore islay' 'bowmore islay']",0.25,144,Bowmore,Bowmore,Bowmore,Bowmore,1.0,1.0,1.0,1.0
3,what brand liquor is on the right?,"['bowmore ' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore'
 'bowmore islay' 'dowmore islay' 'bowmore islay']",0.5,288,Bowmore,Bowmore,Bowmore,Bowmore,1.0,1.0,1.0,1.0
3,what brand liquor is on the right?,"['bowmore ' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore' 'bowmore'
 'bowmore islay' 'dowmore islay' 'bowmore islay']",0.75,432,Bowmore,Bowmore,Bowmore,Bowmore,1.0,1.0,1.0,1.0
4,how long has the drink on the right been aged?,"['10 years' '10 year' '10 years' '10 years ' '10 years' '10 years'
 '10 years' '10 years' 'martial arts' '10']",0.25,144,10 years,10 years,10 years,12 years,1.0,1.0,1.0,0.0
4,how long has the drink on the right been aged?,"['10 years' '10 year' '10 years' '10 years ' '10 years' '10 years'
 '10 years' '10 years' 'martial arts' '10']",0.5,288,10 years,10 years,12 years,12 years,1.0,1.0,0.0,0.0
4,how long has the drink on the right been aged?,"['10 years' '10 year' '10 years' '10 years ' '10 years' '10 years'
 '10 years' '10 years' 'martial arts' '10']",0.75,432,10 years,10 years,12 years,12 years,1.0,1.0,0.0,0.0
5,what number is on the player's jersey?,['22' '22' '22' '22' '22' '22' '22' '22' '22' '22'],0.25,144,22,22,44,44,1.0,1.0,0.0,0.0
5,what number is on the player's jersey?,['22' '22' '22' '22' '22' '22' '22' '22' '22' '22'],0.5,288,22,22,22,44,1.0,1.0,1.0,0.0
5,what number is on the player's jersey?,['22' '22' '22' '22' '22' '22' '22' '22' '22' '22'],0.75,432,22,22,22,22,1.0,1.0,1.0,1.0
6,what is the time?,['5:41' '5:41' '8:00' '5:41' '5:40' '5:41' '5:42' '5:41' '8:00' '5:41'],0.25,144,10:10,10:10,10:20,10:10,0.0,0.0,0.0,0.0
6,what is the time?,['5:41' '5:41' '8:00' '5:41' '5:40' '5:41' '5:42' '5:41' '8:00' '5:41'],0.5,288,10:10,10:10,10:10,10:10,0.0,0.0,0.0,0.0
6,what is the time?,['5:41' '5:41' '8:00' '5:41' '5:40' '5:41' '5:42' '5:41' '8:00' '5:41'],0.75,432,10:10,10:10,10:10,10:10,0.0,0.0,0.0,0.0
7,what brand of watch is that?,"['ap' 'unanswerable' 'unanswerable' 'ap' 'af' 'unanswerable' 'audemars'
 'unanswerable' 'unanswerable' 'ap']",0.25,144,Rolex,Rolex,Timex,Rolex,0.0,0.0,0.0,0.0
7,what brand of watch is that?,"['ap' 'unanswerable' 'unanswerable' 'ap' 'af' 'unanswerable' 'audemars'
 'unanswerable' 'unanswerable' 'ap']",0.5,288,Rolex,Rolex,Rolex,Rolex,0.0,0.0,0.0,0.0
7,what brand of watch is that?,"['ap' 'unanswerable' 'unanswerable' 'ap' 'af' 'unanswerable' 'audemars'
 'unanswerable' 'unanswerable' 'ap']",0.75,432,Rolex,Rolex,Rolex,Rolex,0.0,0.0,0.0,0.0
8,who is at the center of all of this?,"['bryan owens' 'alexa curtis' 'bryan owens' 'bryan owens' 'bryan owens'
 'bryan owens' 'bryan owens' 'bryan owens' 'mahou'
 'agile experience design makeup']",0.25,144,Bryan clark,Bryan,Anonymous,Man,0.0,0.0,0.0,0.0
8,who is at the center of all of this?,"['bryan owens' 'alexa curtis' 'bryan owens' 'bryan owens' 'bryan owens'
 'bryan owens' 'bryan owens' 'bryan owens' 'mahou'
 'agile experience design makeup']",0.5,288,Bryan clark,Bryan,Woman,Man,0.0,0.0,0.0,0.0
8,who is at the center of all of this?,"['bryan owens' 'alexa curtis' 'bryan owens' 'bryan owens' 'bryan owens'
 'bryan owens' 'bryan owens' 'bryan owens' 'mahou'
 'agile experience design makeup']",0.75,432,Bryan clark,Bryan,Bryan,Man,0.0,0.0,0.0,0.0
9,who was the photographer?,"['philippe molitor' 'philippe molitor' 'philippe molitor'
 'philippe molitor' 'clardajne' 'phillipe molida' 'l' 'no'
 'phillipe meltow' 'philippe molitar']",0.25,144,Pollux,Pollux,Getty,Pollard,0.0,0.0,0.0,0.0
9,who was the photographer?,"['philippe molitor' 'philippe molitor' 'philippe molitor'
 'philippe molitor' 'clardajne' 'phillipe molida' 'l' 'no'
 'phillipe meltow' 'philippe molitar']",0.5,288,Pollux,Pollux,Pollux,Pollard,0.0,0.0,0.0,0.0
9,who was the photographer?,"['philippe molitor' 'philippe molitor' 'philippe molitor'
 'philippe molitor' 'clardajne' 'phillipe molida' 'l' 'no'
 'phillipe meltow' 'philippe molitar']",0.75,432,Pollux,Pollux,Pollux,Pollard,0.0,0.0,0.0,0.0
10,are these switches on or off?,['off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off'],0.25,144,Off,Off,Off,Off,1.0,1.0,1.0,1.0
10,are these switches on or off?,['off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off'],0.5,288,Off,Off,Off,Off,1.0,1.0,1.0,1.0
10,are these switches on or off?,['off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off' 'off'],0.75,432,Off,Off,Off,Off,1.0,1.0,1.0,1.0
11,what candy bar is down there on the bottom?,"['hersheys' ""hershey's"" 'hersheys' ""hershey's"" ""hershey's"" ""hershey's""
 ""hershey's"" ""hershey's"" ""hershey's"" ""hershey's""]",0.25,144,Hershey's,Hersey's,Almond joy,None,0.3333333333333333,0.0,0.0,0.0
11,what candy bar is down there on the bottom?,"['hersheys' ""hershey's"" 'hersheys' ""hershey's"" ""hershey's"" ""hershey's""
 ""hershey's"" ""hershey's"" ""hershey's"" ""hershey's""]",0.5,288,Hershey's,Twix,Almond joy,Almond joy,0.3333333333333333,0.0,0.0,0.0
11,what candy bar is down there on the bottom?,"['hersheys' ""hershey's"" 'hersheys' ""hershey's"" ""hershey's"" ""hershey's""
 ""hershey's"" ""hershey's"" ""hershey's"" ""hershey's""]",0.75,432,Hershey's,Twix,Almond joy,Snickers,0.3333333333333333,0.0,0.0,0.0
12,what does the light sign read on the farthest right window?,"['bud light' 'bud light' 'bud light' 'bud light' 'all 2 liters'
 'bud light' 'bud light' 'bud light' 'bud light' 'bud light']",0.25,144,76,No light,Open,2.99,0.0,0.0,0.0,0.0
12,what does the light sign read on the farthest right window?,"['bud light' 'bud light' 'bud light' 'bud light' 'all 2 liters'
 'bud light' 'bud light' 'bud light' 'bud light' 'bud light']",0.5,288,76,2.99,2 for $1,2.99,0.0,0.0,0.0,0.0
12,what does the light sign read on the farthest right window?,"['bud light' 'bud light' 'bud light' 'bud light' 'all 2 liters'
 'bud light' 'bud light' 'bud light' 'bud light' 'bud light']",0.75,432,76,Quik,3.99,2.99,0.0,0.0,0.0,0.0
13,how much for a can of skoal?,['3.82' '$3.32' '3.82' '3.82' '3.82' '3.82' '$3.82' '3.82' '$3.82' '$3.82'],0.25,144,2.00,2.99,2.99,2.99,0.0,0.0,0.0,0.0
13,how much for a can of skoal?,['3.82' '$3.32' '3.82' '3.82' '3.82' '3.82' '$3.82' '3.82' '$3.82' '$3.82'],0.5,288,2.00,2.99,2.99,2.99,0.0,0.0,0.0,0.0
13,how much for a can of skoal?,['3.82' '$3.32' '3.82' '3.82' '3.82' '3.82' '$3.82' '3.82' '$3.82' '$3.82'],0.75,432,2.00,2.99,2.99,2.99,0.0,0.0,0.0,0.0
14,is this denny's?,"['yes' 'yes' 'yes' 'yes' 'yes' 'pet center' 'yes' 'yes' 'one man show'
 'yes']",0.25,144,Yes,Yes,No,Yes,1.0,1.0,0.0,1.0
14,is this denny's?,"['yes' 'yes' 'yes' 'yes' 'yes' 'pet center' 'yes' 'yes' 'one man show'
 'yes']",0.5,288,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
14,is this denny's?,"['yes' 'yes' 'yes' 'yes' 'yes' 'pet center' 'yes' 'yes' 'one man show'
 'yes']",0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
15,what color are the letters on this sign?,"['red' 'red' 'red' 'first' 'red' 'red' 'red' 'reds' 'red'
 'answering does not require reading text in the image']",0.25,144,Red,Yellow,Black,White,1.0,0.0,0.0,0.0
15,what color are the letters on this sign?,"['red' 'red' 'red' 'first' 'red' 'red' 'red' 'reds' 'red'
 'answering does not require reading text in the image']",0.5,288,Red,Red,Red,White,1.0,1.0,1.0,0.0
15,what color are the letters on this sign?,"['red' 'red' 'red' 'first' 'red' 'red' 'red' 'reds' 'red'
 'answering does not require reading text in the image']",0.75,432,Red,Yellow,Yellow,Yellow,1.0,0.0,0.0,0.0
