idx,question,gold,retention,k,ans_unpruned,ans_random,ans_papit,ans_distill,acc_unpruned,acc_random,acc_papit,acc_distill
0,Is it overcast?,no,0.25,144,No,No,No,No,1.0,1.0,1.0,1.0
0,Is it overcast?,no,0.5,288,No,No,No,No,1.0,1.0,1.0,1.0
0,Is it overcast?,no,0.75,432,No,No,No,No,1.0,1.0,1.0,1.0
1,Who is wearing the dress?,women,0.25,144,Lady,Lady,Woman,Lady,0.0,0.0,0.0,0.0
1,Who is wearing the dress?,women,0.5,288,Lady,Lady,Lady,Lady,0.0,0.0,0.0,0.0
1,Who is wearing the dress?,women,0.75,432,Lady,Lady,Lady,Lady,0.0,0.0,0.0,0.0
2,Does the utensil on top of the table look clean and black?,no,0.25,144,No,No,No,No,1.0,1.0,1.0,1.0
2,Does the utensil on top of the table look clean and black?,no,0.5,288,No,No,No,No,1.0,1.0,1.0,1.0
2,Does the utensil on top of the table look clean and black?,no,0.75,432,No,No,No,No,1.0,1.0,1.0,1.0
3,Is the surfer that looks wet wearing a wetsuit?,yes,0.25,144,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
3,Is the surfer that looks wet wearing a wetsuit?,yes,0.5,288,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
3,Is the surfer that looks wet wearing a wetsuit?,yes,0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
4,How tall is the chair in the bottom of the photo?,short,0.25,144,Tall,Tall,Short,Short,0.0,0.0,1.0,1.0
4,How tall is the chair in the bottom of the photo?,short,0.5,288,Tall,Tall,Short,Short,0.0,0.0,1.0,1.0
4,How tall is the chair in the bottom of the photo?,short,0.75,432,Tall,Short,Short,Tall,0.0,1.0,1.0,0.0
5,What kind of device is on top of the desk?,keyboard,0.25,144,Computer,Computer,Computer,Computer,0.0,0.0,0.0,0.0
5,What kind of device is on top of the desk?,keyboard,0.5,288,Computer,Computer,Computer,Computer,0.0,0.0,0.0,0.0
5,What kind of device is on top of the desk?,keyboard,0.75,432,Computer,Computer,Computer,Computer,0.0,0.0,0.0,0.0
6,What is the airplane flying above?,ocean,0.25,144,Beach,Beach,Water,Clouds,0.0,0.0,0.0,0.0
6,What is the airplane flying above?,ocean,0.5,288,Beach,Beach,Beach,Clouds,0.0,0.0,0.0,0.0
6,What is the airplane flying above?,ocean,0.75,432,Beach,Beach,Beach,Ocean,0.0,0.0,0.0,1.0
7,What color are the pants?,red,0.25,144,Red,Red,Black,Black,1.0,1.0,0.0,0.0
7,What color are the pants?,red,0.5,288,Red,Red,Red,Black,1.0,1.0,1.0,0.0
7,What color are the pants?,red,0.75,432,Red,Red,Red,Red,1.0,1.0,1.0,1.0
8,Is the ground blue or brown?,brown,0.25,144,Brown,Brown,Brown,Blue,1.0,1.0,1.0,0.0
8,Is the ground blue or brown?,brown,0.5,288,Brown,Brown,Brown,Brown,1.0,1.0,1.0,1.0
8,Is the ground blue or brown?,brown,0.75,432,Brown,Brown,Brown,Brown,1.0,1.0,1.0,1.0
9,What is around the open window?,drapes,0.25,144,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
9,What is around the open window?,drapes,0.5,288,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
9,What is around the open window?,drapes,0.75,432,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
10,What's around the window?,drapes,0.25,144,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
10,What's around the window?,drapes,0.5,288,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
10,What's around the window?,drapes,0.75,432,Curtain,Curtain,Curtain,Curtain,0.0,0.0,0.0,0.0
11,Who is standing at the table?,woman,0.25,144,Man,People,People,Man,0.0,0.0,0.0,0.0
11,Who is standing at the table?,woman,0.5,288,Man,People,Man,Man,0.0,0.0,0.0,0.0
11,Who is standing at the table?,woman,0.75,432,Man,Man,Man,Man,0.0,0.0,0.0,0.0
12,Are there drapes to the right of the bed?,yes,0.25,144,Yes,Yes,No,Yes,1.0,1.0,0.0,1.0
12,Are there drapes to the right of the bed?,yes,0.5,288,Yes,Yes,No,Yes,1.0,1.0,0.0,1.0
12,Are there drapes to the right of the bed?,yes,0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
13,What is hanging above the chalkboard?,picture,0.25,144,Picture,Picture,Painting,Painting,1.0,1.0,0.0,0.0
13,What is hanging above the chalkboard?,picture,0.5,288,Picture,Picture,Painting,Painting,1.0,1.0,0.0,0.0
13,What is hanging above the chalkboard?,picture,0.75,432,Picture,Picture,Painting,Painting,1.0,1.0,0.0,0.0
14,Is the cake on a platter?,no,0.25,144,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0
14,Is the cake on a platter?,no,0.5,288,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0
14,Is the cake on a platter?,no,0.75,432,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0
15,Is the person to the right of the cup wearing jeans?,yes,0.25,144,Yes,Yes,Yes,No,1.0,1.0,1.0,0.0
15,Is the person to the right of the cup wearing jeans?,yes,0.5,288,Yes,Yes,Yes,No,1.0,1.0,1.0,0.0
15,Is the person to the right of the cup wearing jeans?,yes,0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
16,What device is sitting next to the mouse pad?,keyboard,0.25,144,Keyboard,Computer,Keyboard,Computer,1.0,0.0,1.0,0.0
16,What device is sitting next to the mouse pad?,keyboard,0.5,288,Keyboard,Computer,Keyboard,Speaker,1.0,0.0,1.0,0.0
16,What device is sitting next to the mouse pad?,keyboard,0.75,432,Keyboard,Speaker,Speaker,Keyboard,1.0,0.0,0.0,1.0
17,Does the sweater look open and blue?,yes,0.25,144,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
17,Does the sweater look open and blue?,yes,0.5,288,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
17,Does the sweater look open and blue?,yes,0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
18,Is the jacket long sleeved and black?,yes,0.25,144,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
